neighbourhood_group,latitude,longitude,room_type,minimum_nights,availability_365
Manhattan,40.76235,-73.9626,Entire home/apt,4,4
Bronx,40.8105,-73.92507,Private room,1,19
Brooklyn,40.69097,-73.93612,Entire home/apt,2,5
Manhattan,40.74526,-74.00605,Entire home/apt,1,122
Brooklyn,40.67293,-73.89548,Entire home/apt,30,247
Manhattan,40.75507,-73.98883,Private room,1,364
Queens,40.75091,-73.87612,Private room,2,58
Brooklyn,40.67065,-73.91643,Private room,1,158
Manhattan,40.76739,-73.98504,Entire home/apt,2,146
Queens,40.6922,-73.864,Private room,3,283
Queens,40.74775,-73.94747,Entire home/apt,2,54
Brooklyn,40.61902,-74.03514,Entire home/apt,2,165
Staten Island,40.64478,-74.07897,Private room,4,197
Manhattan,40.84405,-73.93796,Private room,1,71
Queens,40.77453,-73.92833,Entire home/apt,4,347
Brooklyn,40.71332,-73.95591,Private room,4,47
Brooklyn,40.63832,-73.94908,Private room,3,170
Brooklyn,40.70034,-73.9284,Private room,7,25
Brooklyn,40.71878,-73.9604,Private room,1,98
Manhattan,40.82744,-73.94707,Private room,2,97
Manhattan,40.72983,-74.00557,Entire home/apt,1,158
Manhattan,40.72712,-73.98233,Entire home/apt,2,3
Manhattan,40.82097,-73.95473,Private room,2,101
Manhattan,40.80543,-73.95739,Entire home/apt,1,2
Brooklyn,40.68632,-73.91793,Private room,3,25
Brooklyn,40.72547,-73.94595,Private room,8,2
Brooklyn,40.69241,-73.95793,Entire home/apt,2,268
Brooklyn,40.68906,-73.97763,Private room,30,361
Brooklyn,40.7128,-73.9396,Private room,2,169
Manhattan,40.72824,-73.99517,Entire home/apt,4,85
Manhattan,40.72712,-74.00065,Entire home/apt,1,300
Brooklyn,40.67303,-73.88621,Private room,1,166
Manhattan,40.76027,-73.98831,Entire home/apt,30,63
Queens,40.70259,-73.81415,Private room,1,365
Brooklyn,40.7077,-73.95332,Private room,2,9
Manhattan,40.74564,-74.0006,Entire home/apt,1,6
Brooklyn,40.68524,-73.9607,Entire home/apt,3,271
Manhattan,40.72592,-73.97991,Entire home/apt,3,34
Manhattan,40.71904,-73.98962,Private room,2,331
Brooklyn,40.68232,-73.94401,Private room,2,125
Brooklyn,40.68465,-73.95644,Private room,5,72
Bronx,40.86925,-73.89974,Private room,1,48
Brooklyn,40.6315,-73.90761,Entire home/apt,2,349
Manhattan,40.87157,-73.91744,Private room,1,344
Brooklyn,40.7138,-73.94581,Entire home/apt,1,27
Manhattan,40.75785,-73.96905,Entire home/apt,5,145
Brooklyn,40.66261,-73.94399,Private room,2,44
Brooklyn,40.71142,-73.95535,Entire home/apt,3,302
Brooklyn,40.70414,-73.93408,Entire home/apt,6,76
Manhattan,40.71953,-74.00386,Entire home/apt,14,335
Manhattan,40.74612,-73.97417,Entire home/apt,1,201
Manhattan,40.78193,-73.94884,Entire home/apt,30,365
Brooklyn,40.71611,-73.95616,Entire home/apt,30,320
Manhattan,40.7062,-74.01192,Entire home/apt,2,255
Queens,40.75889,-73.82104,Private room,1,342
Manhattan,40.72587,-73.98438,Private room,3,236
Brooklyn,40.70774,-73.94819,Private room,2,68
Queens,40.69526,-73.90263,Entire home/apt,7,142
Manhattan,40.79805,-73.93399,Entire home/apt,4,219
Queens,40.74951,-73.90787,Entire home/apt,2,137
Manhattan,40.79485,-73.96243,Private room,28,337
Queens,40.72899,-73.79578,Entire home/apt,1,179
Brooklyn,40.67948,-73.99531,Entire home/apt,6,14
Brooklyn,40.68184,-73.99308,Private room,21,364
Bronx,40.85247,-73.86418,Entire home/apt,4,194
Manhattan,40.78688,-73.97403,Entire home/apt,30,346
Brooklyn,40.70413,-73.93205,Entire home/apt,2,284
Manhattan,40.76738,-73.98466,Entire home/apt,3,9
Queens,40.71395,-73.91373,Private room,1,29
Manhattan,40.72841,-74.00045,Entire home/apt,4,217
Queens,40.66648,-73.7526,Private room,1,340
Brooklyn,40.70387,-73.91665,Private room,30,144
Brooklyn,40.66154,-73.88874,Private room,3,180
Manhattan,40.73384,-74.00819,Entire home/apt,2,12
Brooklyn,40.67294,-73.93655,Entire home/apt,3,73
Queens,40.76314,-73.88619,Entire home/apt,1,348
Brooklyn,40.68398,-73.94101,Entire home/apt,2,262
Manhattan,40.71818,-73.98206,Entire home/apt,25,350
Manhattan,40.74114,-74.00358,Entire home/apt,30,125
Brooklyn,40.72545,-73.95405,Entire home/apt,3,205
Brooklyn,40.63567,-73.91296,Entire home/apt,2,52
Brooklyn,40.65567,-73.96125,Entire home/apt,2,141
Manhattan,40.76049,-73.99569,Private room,4,301
Manhattan,40.73836,-73.99567,Entire home/apt,2,7
Staten Island,40.58952,-74.15587,Entire home/apt,2,175
Brooklyn,40.62848,-74.03077,Private room,4,175
Manhattan,40.77291,-73.95176,Entire home/apt,25,161
Manhattan,40.77076,-73.94757,Entire home/apt,2,1
Manhattan,40.76868,-73.95744,Entire home/apt,5,7
Brooklyn,40.73482,-73.95399,Private room,1,97
Queens,40.7017,-73.82316,Shared room,7,362
Brooklyn,40.68053,-74.00387,Entire home/apt,3,356
Manhattan,40.76215,-73.99589,Private room,2,1
Queens,40.58739,-73.81746,Entire home/apt,2,125
Manhattan,40.74214,-73.99912,Entire home/apt,5,9
Manhattan,40.79641,-73.96253,Entire home/apt,5,109
Manhattan,40.80313,-73.96745,Private room,3,3
Manhattan,40.82364,-73.94472,Entire home/apt,2,37
Brooklyn,40.69028,-73.90563,Shared room,30,365
Queens,40.76437,-73.91304,Private room,2,228
Brooklyn,40.57707,-73.96303,Entire home/apt,5,179
Brooklyn,40.71703,-73.96509,Entire home/apt,31,190
Queens,40.76169,-73.76813,Private room,2,351
Manhattan,40.78722,-73.94482,Shared room,22,12
Brooklyn,40.69262,-73.95014,Entire home/apt,2,2
Manhattan,40.7587,-73.96705,Private room,2,190
Queens,40.74293,-73.81868,Private room,1,81
Manhattan,40.7852,-73.9746,Entire home/apt,30,346
Staten Island,40.61135,-74.06356,Entire home/apt,3,258
Manhattan,40.72966,-73.98515,Private room,2,157
Queens,40.71662,-73.85971,Entire home/apt,2,335
Manhattan,40.7618,-73.99093,Private room,1,305
Queens,40.714,-73.77787,Private room,5,364
Queens,40.74975,-73.93688,Private room,7,46
Brooklyn,40.6802,-73.99739,Entire home/apt,1,15
Manhattan,40.80829,-73.9426,Entire home/apt,21,267
Manhattan,40.73845,-73.98373,Entire home/apt,7,100
Manhattan,40.74909,-73.98657,Entire home/apt,30,345
Brooklyn,40.68634,-73.966,Private room,7,185
Manhattan,40.78478,-73.97668,Entire home/apt,15,266
Brooklyn,40.65047,-74.00403,Private room,1,327
Brooklyn,40.68823,-73.93367,Entire home/apt,2,182
Manhattan,40.76235,-73.98872,Entire home/apt,1,116
Manhattan,40.77454,-73.95454,Entire home/apt,30,60
Brooklyn,40.65668,-73.97827,Private room,4,82
Brooklyn,40.68937,-73.90903,Private room,2,354
Brooklyn,40.61708,-73.95559,Entire home/apt,1,126
Brooklyn,40.64838,-73.89834,Private room,4,37
Brooklyn,40.6909,-73.93737,Private room,3,340
Queens,40.7337,-73.88363,Private room,3,364
Manhattan,40.81767,-73.93771,Entire home/apt,4,128
Bronx,40.85205,-73.78868,Private room,1,173
Manhattan,40.73232,-74.0002,Entire home/apt,1,49
Manhattan,40.7665,-73.98578,Entire home/apt,3,22
Manhattan,40.84577,-73.93731,Private room,7,356
Manhattan,40.72201,-73.98277,Entire home/apt,2,36
Brooklyn,40.71063,-73.96774,Entire home/apt,3,12
Brooklyn,40.68337,-73.92996,Private room,4,22
Manhattan,40.79013,-73.94958,Entire home/apt,3,85
Manhattan,40.70659,-74.00501,Entire home/apt,4,83
Manhattan,40.72883,-74.00145,Private room,1,145
Manhattan,40.7993,-73.93305,Private room,2,304
Brooklyn,40.68664,-73.93849,Entire home/apt,3,166
Queens,40.69576,-73.78867,Entire home/apt,2,12
Manhattan,40.87126,-73.91722,Entire home/apt,2,164
Brooklyn,40.6678,-73.92526,Private room,3,116
Brooklyn,40.67289,-73.97129,Entire home/apt,7,94
Manhattan,40.8101,-73.94453,Entire home/apt,4,364
Manhattan,40.70849,-74.01486,Entire home/apt,30,329
Queens,40.66049,-73.73496,Private room,1,167
Brooklyn,40.65589,-73.95539,Private room,1,96
Brooklyn,40.66793,-73.98934,Entire home/apt,3,144
Queens,40.73867,-73.87144,Entire home/apt,4,39
Brooklyn,40.69089,-73.94676,Private room,30,37
Brooklyn,40.6867,-73.93835,Entire home/apt,1,68
Manhattan,40.83573,-73.94895,Entire home/apt,31,306
Manhattan,40.74706,-73.98689,Entire home/apt,1,234
Brooklyn,40.72023,-73.9479,Private room,3,188
Queens,40.75895,-73.79196,Entire home/apt,2,115
Brooklyn,40.6433,-73.97386,Entire home/apt,30,286
Manhattan,40.73775,-73.98324,Entire home/apt,30,327
Brooklyn,40.62776,-73.94137,Entire home/apt,2,7
Manhattan,40.73194,-73.99474,Entire home/apt,5,91
Manhattan,40.79591,-73.96204,Private room,2,181
Brooklyn,40.65141,-73.92512,Entire home/apt,3,232
Manhattan,40.79855,-73.9717,Entire home/apt,1,5
Staten Island,40.63464,-74.07842,Private room,1,362
Manhattan,40.76094,-73.994,Private room,2,59
Queens,40.77293,-73.91846,Private room,3,161
Brooklyn,40.71703,-73.9635,Private room,2,22
Manhattan,40.7559,-73.99469,Entire home/apt,30,364
Brooklyn,40.67138,-73.93679,Private room,1,89
Manhattan,40.77861,-73.95015,Entire home/apt,31,326
Manhattan,40.80822,-73.95273,Entire home/apt,3,198
Brooklyn,40.70247,-73.92061,Private room,1,5
Manhattan,40.73248,-74.00053,Entire home/apt,1,14
Brooklyn,40.71449,-73.95905,Private room,3,89
Queens,40.75498,-73.83423,Entire home/apt,2,361
Manhattan,40.84245,-73.93918,Entire home/apt,30,312
Queens,40.69626,-73.8488,Private room,5,238
Queens,40.66524,-73.73283,Private room,1,356
Manhattan,40.77148,-73.98226,Private room,1,327
Manhattan,40.71103,-74.00845,Entire home/apt,2,35
Manhattan,40.70784,-74.0107,Entire home/apt,2,327
Manhattan,40.8233,-73.95122,Entire home/apt,3,326
Brooklyn,40.68736,-73.95777,Private room,15,343
Manhattan,40.74969,-73.9774,Entire home/apt,30,311
Queens,40.76294,-73.91545,Private room,2,2
Brooklyn,40.70784,-73.92224,Entire home/apt,3,308
Manhattan,40.83013,-73.94112,Private room,3,280
Queens,40.7489,-73.87549,Private room,2,167
Queens,40.74968,-73.90333,Private room,1,90
Brooklyn,40.69197,-73.93872,Private room,2,351
Manhattan,40.76196,-73.98536,Entire home/apt,30,218
Queens,40.76245,-73.8238,Private room,5,353
Manhattan,40.81726,-73.94583,Entire home/apt,2,193
Manhattan,40.85213,-73.9336,Entire home/apt,3,3
Queens,40.71288,-73.74334,Entire home/apt,2,189
Queens,40.77407,-73.92262,Entire home/apt,2,86
Manhattan,40.80419,-73.94792,Shared room,1,365
Manhattan,40.7388,-73.997,Entire home/apt,30,157
Brooklyn,40.67704,-73.95957,Entire home/apt,1,13
Queens,40.74649,-73.9525,Private room,15,135
Manhattan,40.70803,-74.00639,Entire home/apt,29,325
Brooklyn,40.67947,-73.96466,Private room,2,83
Manhattan,40.74601,-74.00028,Private room,2,336
Brooklyn,40.688,-73.9171,Entire home/apt,3,68
Brooklyn,40.73018,-73.95464,Private room,7,157
Manhattan,40.82385,-73.93947,Private room,3,70
Brooklyn,40.68804,-73.92279,Private room,2,280
Manhattan,40.76547,-73.98216,Entire home/apt,30,189
Manhattan,40.82312,-73.94539,Private room,1,49
Queens,40.69066,-73.78759,Private room,5,314
Manhattan,40.73523,-73.99465,Entire home/apt,3,365
Queens,40.75389,-73.83192,Private room,1,139
Manhattan,40.73251,-73.99602,Entire home/apt,80,214
Manhattan,40.72169,-73.98773,Entire home/apt,30,52
Manhattan,40.72133,-73.99666,Entire home/apt,1,115
Queens,40.58536,-73.81726,Entire home/apt,30,363
Manhattan,40.76384,-73.96355,Entire home/apt,4,3
Manhattan,40.78466,-73.97276,Entire home/apt,2,231
Queens,40.74889,-73.86489,Shared room,1,364
Brooklyn,40.68859,-73.94998,Entire home/apt,5,15
Manhattan,40.74536,-73.97799,Entire home/apt,30,327
Manhattan,40.78588,-73.97117,Private room,4,365
Brooklyn,40.71355,-73.95003,Private room,28,229
Manhattan,40.81156,-73.94571,Private room,3,333
Brooklyn,40.6752,-73.94829,Private room,1,11
Brooklyn,40.71285,-73.96124,Private room,20,333
Brooklyn,40.63662,-73.97612,Private room,30,74
Brooklyn,40.69726,-73.91587,Private room,2,5
Brooklyn,40.59852,-73.95481,Shared room,1,351
Brooklyn,40.69054,-73.91403,Private room,2,218
Manhattan,40.75017,-73.97684,Entire home/apt,30,364
Queens,40.71319,-73.90315,Private room,2,365
Manhattan,40.71213,-73.99661,Private room,1,47
Brooklyn,40.69248,-73.93162,Entire home/apt,2,18
Manhattan,40.74633,-73.98694,Entire home/apt,4,320
Manhattan,40.80715,-73.93834,Private room,1,350
Manhattan,40.80695,-73.9654,Entire home/apt,7,10
Brooklyn,40.65068,-73.91811,Private room,1,125
Brooklyn,40.65015,-73.92803,Private room,1,351
Queens,40.69901,-73.90168,Entire home/apt,3,65
Manhattan,40.78187,-73.94699,Private room,2,351
Manhattan,40.79595,-73.97251,Private room,1,6
Manhattan,40.77327,-73.97953,Entire home/apt,3,42
Manhattan,40.72095,-73.99961,Entire home/apt,3,37
Queens,40.75551,-73.934,Private room,1,281
Brooklyn,40.69106,-73.93707,Private room,4,132
Manhattan,40.72935,-73.99054,Entire home/apt,2,188
Manhattan,40.79496,-73.94838,Entire home/apt,2,79
Brooklyn,40.69493,-73.94483,Entire home/apt,3,6
Manhattan,40.74698,-73.98906,Private room,1,311
Brooklyn,40.71506,-73.94158,Private room,2,40
Brooklyn,40.67411,-73.93843,Private room,5,149
Manhattan,40.79507,-73.94248,Entire home/apt,5,19
Brooklyn,40.67831,-73.93903,Private room,3,342
Queens,40.76068,-73.91359,Entire home/apt,2,214
Brooklyn,40.68875,-73.95401,Private room,1,352
Manhattan,40.7487,-73.99514,Private room,2,66
Manhattan,40.7592,-73.98902,Entire home/apt,2,258
Queens,40.78598,-73.77915,Private room,3,7
Manhattan,40.71165,-73.9993,Entire home/apt,1,88
Manhattan,40.72773,-73.99134,Private room,2,75
Manhattan,40.76452,-73.99439,Entire home/apt,4,203
Manhattan,40.79285,-73.94482,Private room,1,288
Manhattan,40.74708,-73.98513,Private room,1,236
Brooklyn,40.70136,-73.94423,Private room,2,89
Queens,40.73662,-73.92372,Entire home/apt,3,280
Brooklyn,40.65466,-73.9218,Entire home/apt,4,282
Brooklyn,40.67502,-73.96447,Private room,3,66
Brooklyn,40.72198,-73.94992,Entire home/apt,2,76
Brooklyn,40.65267,-73.94293,Private room,3,311
Brooklyn,40.6489,-73.96872,Entire home/apt,5,189
Manhattan,40.80351,-73.95648,Private room,10,63
Manhattan,40.81643,-73.94042,Private room,3,205
Queens,40.7478,-73.88005,Private room,1,165
Manhattan,40.73079,-74.00268,Entire home/apt,2,3
Manhattan,40.70772,-74.01489,Private room,1,365
Brooklyn,40.71208,-73.95126,Private room,3,19
Brooklyn,40.71627,-73.93957,Private room,7,365
Manhattan,40.76166,-73.99691,Entire home/apt,29,302
Manhattan,40.72144,-73.98655,Private room,1,187
Brooklyn,40.612,-73.99573,Private room,3,83
Brooklyn,40.70919,-73.95755,Entire home/apt,30,235
Brooklyn,40.61637,-73.92206,Private room,1,364
Brooklyn,40.69322,-73.95519,Shared room,3,361
Manhattan,40.82931,-73.94358,Entire home/apt,3,273
Brooklyn,40.6424,-73.91275,Entire home/apt,2,155
Brooklyn,40.67704,-73.9846,Private room,1,338
Brooklyn,40.72614,-73.94007,Entire home/apt,30,343
Brooklyn,40.63652,-73.90015,Private room,5,90
Manhattan,40.79148,-73.9446,Private room,1,26
Manhattan,40.72795,-74.00454,Entire home/apt,2,333
Manhattan,40.77867,-73.95143,Entire home/apt,1,42
Brooklyn,40.6922,-73.9415,Private room,3,63
Brooklyn,40.68161,-73.93811,Entire home/apt,28,173
Brooklyn,40.68251,-73.91944,Entire home/apt,1,359
Manhattan,40.74372,-74.00021,Entire home/apt,7,330
Manhattan,40.76626,-73.98338,Entire home/apt,30,345
Brooklyn,40.71197,-73.94223,Private room,2,25
Brooklyn,40.68754,-73.91265,Private room,3,189
Manhattan,40.72071,-73.98764,Entire home/apt,1,48
Manhattan,40.77481,-73.98144,Private room,20,23
Manhattan,40.76105,-73.98638,Entire home/apt,30,363
Brooklyn,40.68323,-73.95642,Private room,1,72
Manhattan,40.75983,-73.99064,Entire home/apt,2,254
Brooklyn,40.67812,-73.97353,Entire home/apt,6,209
Manhattan,40.73117,-74.00232,Private room,2,15
Manhattan,40.78139,-73.95379,Private room,2,76
Manhattan,40.72065,-73.99282,Private room,3,338
Brooklyn,40.6638,-73.89307,Entire home/apt,1,337
Manhattan,40.75754,-73.96129,Entire home/apt,30,334
Brooklyn,40.69571,-73.96944,Private room,1,144
Queens,40.75573,-73.72931,Private room,1,325
Staten Island,40.60367,-74.0695,Entire home/apt,4,320
Brooklyn,40.67731,-73.97475,Entire home/apt,3,125
Brooklyn,40.72888,-73.94486,Entire home/apt,3,74
Queens,40.70305,-73.82687,Private room,2,6
Queens,40.76222,-73.91861,Entire home/apt,3,206
Queens,40.59427,-73.79729,Entire home/apt,1,70
Manhattan,40.82586,-73.95296,Entire home/apt,31,333
Manhattan,40.80392,-73.94685,Private room,3,325
Brooklyn,40.7136,-73.96221,Private room,7,235
Brooklyn,40.73081,-73.95184,Entire home/apt,2,2
Manhattan,40.73197,-73.98674,Private room,7,173
Manhattan,40.72104,-73.98845,Private room,2,56
Manhattan,40.81697,-73.94225,Private room,30,44
Brooklyn,40.66723,-73.97607,Entire home/apt,10,258
Brooklyn,40.67615,-73.95776,Private room,14,313
Staten Island,40.64641,-74.08502,Entire home/apt,2,96
Brooklyn,40.71301,-73.95374,Private room,1,44
Manhattan,40.74475,-73.98337,Private room,1,29
Queens,40.68048,-73.8125,Entire home/apt,2,317
Brooklyn,40.7319,-73.95739,Entire home/apt,31,219
Manhattan,40.76273,-73.9942,Entire home/apt,30,298
Manhattan,40.77751,-73.95174,Entire home/apt,31,338
Brooklyn,40.6371,-73.99834,Private room,2,365
Brooklyn,40.69266,-73.92684,Private room,3,17
Queens,40.71131,-73.87376,Entire home/apt,1,264
Manhattan,40.76996,-73.9539,Private room,2,5
Manhattan,40.82978,-73.94022,Private room,1,268
Manhattan,40.72783,-73.98015,Entire home/apt,5,263
Brooklyn,40.67615,-73.92945,Entire home/apt,1,313
Brooklyn,40.69641,-73.90994,Private room,1,315
Brooklyn,40.62191,-73.93428,Entire home/apt,2,357
Brooklyn,40.69567,-73.95133,Entire home/apt,2,34
Manhattan,40.78209,-73.97598,Entire home/apt,4,179
Queens,40.77799,-73.90807,Entire home/apt,1,145
Manhattan,40.71951,-73.98449,Entire home/apt,5,108
Brooklyn,40.70779,-73.96254,Entire home/apt,2,288
Queens,40.76586,-73.93342,Entire home/apt,3,187
Brooklyn,40.68205,-73.94469,Entire home/apt,2,190
Brooklyn,40.64438,-73.95408,Private room,5,89
Queens,40.75428,-73.93323,Private room,4,8
Manhattan,40.70974,-74.01774,Entire home/apt,30,31
Brooklyn,40.6627,-73.95875,Private room,5,365
Brooklyn,40.64941,-73.93451,Private room,1,37
Brooklyn,40.68523,-73.90665,Entire home/apt,10,42
Brooklyn,40.70684,-73.94932,Private room,1,107
Queens,40.72638,-73.85852,Private room,4,5
Brooklyn,40.64932,-73.98018,Entire home/apt,1,3
Manhattan,40.74729,-73.98957,Private room,1,312
Queens,40.76078,-73.87661,Private room,1,149
Brooklyn,40.68157,-73.90547,Private room,2,310
Brooklyn,40.69975,-73.91202,Entire home/apt,1,41
Brooklyn,40.71032,-73.95345,Entire home/apt,6,95
Brooklyn,40.68655,-73.92112,Entire home/apt,2,57
Brooklyn,40.69175,-73.92834,Entire home/apt,2,211
Brooklyn,40.69749,-73.97551,Private room,30,257
Brooklyn,40.68271,-73.95141,Entire home/apt,30,341
Manhattan,40.81458,-73.93696,Private room,60,215
Brooklyn,40.73351,-73.95459,Entire home/apt,3,280
Brooklyn,40.72414,-73.95355,Entire home/apt,2,16
Queens,40.75883,-73.9216,Entire home/apt,2,282
Manhattan,40.78747,-73.97238,Entire home/apt,30,346
Manhattan,40.75669,-73.96848,Private room,2,89
Brooklyn,40.71872,-73.96042,Entire home/apt,4,1
Queens,40.70012,-73.89451,Entire home/apt,1,21
Manhattan,40.7276,-74.00075,Entire home/apt,2,205
Bronx,40.88698,-73.86049,Private room,2,156
Manhattan,40.75858,-73.99227,Private room,4,355
Manhattan,40.72501,-73.99323,Entire home/apt,2,10
Queens,40.77864,-73.91445,Private room,1,100
Manhattan,40.77126,-73.95671,Entire home/apt,30,335
Manhattan,40.753,-73.97364,Private room,2,327
Manhattan,40.73644,-73.98097,Entire home/apt,1,188
Manhattan,40.73899,-73.99749,Entire home/apt,30,320
Brooklyn,40.66825,-73.98432,Private room,3,72
Brooklyn,40.6882,-73.94444,Private room,2,20
Manhattan,40.70417,-74.00928,Private room,1,195
Manhattan,40.80965,-73.94696,Private room,1,34
Queens,40.76444,-73.86907,Private room,1,30
Manhattan,40.72044,-73.99568,Entire home/apt,6,90
Brooklyn,40.69552,-73.91165,Private room,3,74
Manhattan,40.74544,-73.9748,Entire home/apt,30,311
Manhattan,40.8186,-73.94413,Entire home/apt,2,39
Brooklyn,40.64308,-73.96508,Private room,3,364
Manhattan,40.76132,-73.99443,Private room,3,341
Bronx,40.89308,-73.85076,Private room,7,357
Brooklyn,40.68468,-73.99145,Entire home/apt,3,250
Manhattan,40.80324,-73.9352,Entire home/apt,2,11
Manhattan,40.76064,-73.99112,Entire home/apt,30,215
Queens,40.77368,-73.90499,Private room,2,327
Brooklyn,40.68164,-73.9262,Entire home/apt,2,67
Queens,40.68263,-73.72597,Private room,1,89
Queens,40.74046,-73.9251,Private room,1,336
Queens,40.71214,-73.81661,Entire home/apt,3,15
Manhattan,40.79658,-73.96118,Private room,1,75
Queens,40.77214,-73.89169,Private room,1,353
Manhattan,40.77761,-73.94606,Private room,30,128
Brooklyn,40.68464,-73.92268,Entire home/apt,2,35
Manhattan,40.76384,-73.99309,Private room,1,153
Queens,40.7631,-73.92262,Private room,3,353
Manhattan,40.77938,-73.98247,Private room,1,73
Manhattan,40.73473,-74.00135,Entire home/apt,30,277
Manhattan,40.82171,-73.95346,Private room,5,154
Brooklyn,40.69558,-73.94697,Private room,30,365
Brooklyn,40.68979,-73.95048,Private room,30,216
Manhattan,40.77345,-73.98774,Private room,10,248
Brooklyn,40.69587,-73.93407,Private room,2,90
Manhattan,40.74103,-73.97451,Entire home/apt,4,4
Queens,40.76101,-73.92464,Entire home/apt,1,273
Brooklyn,40.68815,-73.91032,Entire home/apt,2,270
Queens,40.75379,-73.83011,Private room,3,88
Brooklyn,40.71915,-73.94061,Entire home/apt,2,188
Staten Island,40.63516,-74.07735,Private room,2,340
Queens,40.75273,-73.87144,Entire home/apt,2,195
Manhattan,40.77374,-73.95684,Entire home/apt,2,364
Manhattan,40.75379,-73.96433,Entire home/apt,30,302
Queens,40.70296,-73.90602,Private room,35,365
Manhattan,40.72652,-73.98966,Entire home/apt,2,38
Brooklyn,40.71072,-73.96498,Entire home/apt,4,13
Manhattan,40.72379,-73.98826,Entire home/apt,29,35
Brooklyn,40.62643,-74.0072,Entire home/apt,2,285
Manhattan,40.73096,-73.98376,Entire home/apt,1,240
Manhattan,40.74318,-73.99987,Entire home/apt,1,325
Manhattan,40.80385,-73.95294,Private room,7,254
Manhattan,40.74494,-73.9998,Entire home/apt,1,364
Manhattan,40.70656,-74.01092,Entire home/apt,2,356
Brooklyn,40.69171,-73.94891,Entire home/apt,4,37
Manhattan,40.76226,-73.99519,Entire home/apt,7,147
Manhattan,40.7455,-73.9916,Private room,1,61
Manhattan,40.80016,-73.96448,Private room,2,20
Queens,40.71047,-73.81562,Private room,4,90
Brooklyn,40.68502,-73.90883,Entire home/apt,2,218
Brooklyn,40.68659,-73.97557,Private room,2,3
Brooklyn,40.68926,-73.99386,Entire home/apt,2,279
Queens,40.74723,-73.89706,Entire home/apt,3,281
Queens,40.65766,-73.72838,Entire home/apt,1,336
Brooklyn,40.7,-73.91714,Entire home/apt,1,96
Manhattan,40.72199,-73.99534,Entire home/apt,1,12
Manhattan,40.72504,-73.98327,Private room,1,94
Manhattan,40.72007,-73.98873,Entire home/apt,10,313
Manhattan,40.74161,-73.99435,Entire home/apt,30,338
Brooklyn,40.69023,-73.94628,Private room,1,289
Brooklyn,40.71364,-73.96427,Entire home/apt,30,39
Manhattan,40.74876,-73.97553,Entire home/apt,30,344
Queens,40.70688,-73.90981,Entire home/apt,1,163
Manhattan,40.72823,-73.98425,Private room,1,91
Manhattan,40.76436,-73.95669,Entire home/apt,2,138
Brooklyn,40.69314,-73.9571,Private room,2,340
Brooklyn,40.61364,-74.0354,Entire home/apt,2,313
Manhattan,40.7551,-73.99651,Private room,7,324
Manhattan,40.72162,-73.98008,Entire home/apt,9,116
Manhattan,40.76746,-73.98942,Entire home/apt,10,126
Manhattan,40.79832,-73.9398,Private room,2,209
Queens,40.77755,-73.90599,Entire home/apt,7,8
Brooklyn,40.70526,-73.92446,Private room,2,97
Brooklyn,40.68737,-73.93478,Entire home/apt,1,261
Brooklyn,40.68599,-73.95182,Private room,6,92
Manhattan,40.82243,-73.95447,Private room,30,359
Brooklyn,40.64074,-74.01512,Private room,1,360
Manhattan,40.76046,-73.9901,Private room,2,124
Manhattan,40.75389,-73.99518,Private room,7,332
Manhattan,40.80456,-73.95033,Entire home/apt,3,116
Manhattan,40.72657,-73.98796,Entire home/apt,7,1
Brooklyn,40.70835,-73.95368,Entire home/apt,2,308
Brooklyn,40.69276,-73.91465,Private room,30,316
Brooklyn,40.67815,-73.91518,Private room,3,180
Manhattan,40.86087,-73.92724,Private room,3,249
Queens,40.76177,-73.92627,Private room,28,275
Manhattan,40.75251,-73.97262,Entire home/apt,30,365
Manhattan,40.74244,-73.99781,Entire home/apt,3,1
Manhattan,40.77597,-73.98038,Entire home/apt,2,27
Queens,40.68638,-73.79007,Private room,1,159
Queens,40.70947,-73.82922,Private room,3,351
Manhattan,40.7074,-74.01175,Entire home/apt,2,350
Brooklyn,40.67204,-73.95147,Entire home/apt,3,23
Bronx,40.87396,-73.87785,Private room,30,303
Manhattan,40.75954,-73.98604,Entire home/apt,29,357
Manhattan,40.74734,-73.98049,Entire home/apt,2,46
Manhattan,40.7075,-74.01023,Entire home/apt,2,346
Brooklyn,40.63273,-73.96385,Entire home/apt,2,167
Manhattan,40.7403,-74.0029,Entire home/apt,3,10
Manhattan,40.7622,-73.99673,Entire home/apt,29,332
Brooklyn,40.68855,-73.9443,Entire home/apt,5,225
Brooklyn,40.68927,-73.96542,Entire home/apt,3,31
Brooklyn,40.71345,-73.95938,Private room,1,7
Manhattan,40.78873,-73.97381,Entire home/apt,30,200
Queens,40.66144,-73.85762,Entire home/apt,1,346
Brooklyn,40.68528,-73.95217,Entire home/apt,2,88
Manhattan,40.81899,-73.94714,Private room,30,257
Manhattan,40.77375,-73.9541,Private room,1,257
Manhattan,40.71859,-74.00459,Entire home/apt,31,165
Brooklyn,40.70144,-73.92662,Entire home/apt,2,14
Manhattan,40.80069,-73.96431,Shared room,7,39
Manhattan,40.80712,-73.95686,Private room,2,19
Brooklyn,40.63196,-73.94572,Private room,2,43
Manhattan,40.73684,-73.98058,Private room,3,242
Queens,40.76212,-73.71928,Shared room,3,88
Manhattan,40.76187,-73.98413,Private room,1,349
Manhattan,40.72461,-74.01136,Entire home/apt,2,130
Brooklyn,40.67396,-73.96427,Private room,3,189
